id,txt,phrase,txt_loc
"0",(Terminus),(Terminus),
"1",3 to 31,3 to 31,
"2",The Show House,The Show House,
"3",D Fn,D Fn,
"4",S A Canteen,S A Canteen,
"5",Subway,Subway,
"6",(Terminus),(Terminus),
"7",,,
"8",,,
"9",,,
"10",,,
"11",,,
"12",,,
"13",,,
"14",,,
"15",,,
"16",,,
"17",Vent Pipe,Vent Pipe,
"18",LB,LB,
"19",PCB,PCB,
"20",,,
"21",,,
"22",,,
"23",,,
"24",,,
"25",,,
"26",1b,1b,
"27",1a,1a,
"28",,,
"29",Und,Und,
"30",Plate,Plate,
"31",CR,CR,
"32",,,
"33",,,
"34",,,
"35",,,
"36",,,
"37",,,
"38",,,
"39",,,
"40",,,
"41",,,
"42",,,
"43",,,
"44",341a,341a,
"45",PO,PO,
"46",,,
"47",,,
"48",,,
"49",,,
"50",,,
"51",,,
"52",,,
"53",,,
"54",,,
"55",,,
"56",,,
"57",TCBs,TCBs,
"58",Subway,Subway,
"59",(London Transport),(London Transport),
"60",BM57∙52,BM57∙52,
"61",,,
"62",,,
"63",17a,17a,
"64",,,
"65",,,
"66",,,
"67",,,
"68",,,
"69",Ruin,Ruin,
"70",,,
"71",,,
"72",,,
"73",,,
"74",,,
"75",,,
"76",,,
"77",,,
"78",,,
"79",,,
"80",,,
"81",,,
"82",,,
"83",,,
"84",,,
"85",,,
"86",,,
"87",,,
"88",,,
"89",,,
"90",,,
"91",D Fn,D Fn,
"92",,,
"93",,,
"94",,,
"95",,,
"96",,,
"97",,,
"98",BM60∙51,BM60∙51,
"99",,,
"100",,,
"101",,,
"102",,,
"103",,,
"104",,,
"105",,,
"106",,,
"108",,,
"109",,,
"110",,,
"111",,,
"112",,,
"113",,,
"114",,,
"115",,,
"116",,,
"117",,,
"118",,,
"119",,,
"120",,,
"121",,,
"122",,,
"123",,,
"124",1 to 24,1 to 24,
"125",1 to 24,1 to 24,
"126",1 to 24,1 to 24,
"107",,,
"127",1 to 24,1 to 24,
"128",TCB,TCB,
"129",Derbyshire House,Derbyshire House,
"130",Holy Cross,Holy Cross Vic,"1"
"131",Vic,Holy Cross Vic,"2"
"132",,,
"133",,,
"134",,,
"135",,,
"136",,,
"137",,,
"138",,,
"139",,,
"140",,,
"141",,,
"142",,,
"143",,,
"144",,,
"145",,,
"146",,,
"147",,,
"148",,,
"149",,,
"150",Def,Def,
"151",,,
"152",,,
"153",Subway,Subway,
"154",LB,LB,
"155",FS,FS,
"156",Euston Tavern (PH),Euston Tavern (PH),
"157",LB,LB,
"158",TCB,TCB,
"159",Ruin,Ruin,
"160",,,
"161",The Dolphin,The Dolphin (PH),"1"
"162",(PH),The Dolphin (PH),"2"
"163",The Skinners Arms,The Skinners Arms (PH),"1"
"164",(PH),The Skinners Arms (PH),"2"
"165",FB,FB,
"171",161 to 181,161 to 181,
"170",133 to 160,133 to 160,
"166",1 to 52,1 to 52,
"167",53 to 73,53 to 73,
"168",74 to 105,74 to 105,
"169",106 to 132,106 to 132,
"172",,,
"173",,,
"174",,,
"175",,,
"176",,,
"177",,,
"178",,,
