id,txt,phrase,txt_loc
"0",,,
"1",9∙139,9∙139,
"2",B.M.68∙2,B.M.68∙2,
"3",,,
"4",16∙294,16∙294,
"5",,,
"6",,,
"7",8∙194,8∙194,
"8",,,
"9",1∙160,1∙160,
"10",,,
"11",,,
"12",F.B.,F.B.,
"13",,,
"14",7∙234,7∙234,
"15",,,
"16",8∙383,8∙383,
"17",153∙863,153∙863,
"18",3ft.,3ft.,
"19",,,
"20",4∙819,4∙819,
"21",,,
"22",11∙140,11∙140,
"23",,,
"24",15∙450,15∙450,
"25",1∙492,1∙492,
"26",,,
"27",767∙222,767∙222,
"28",,,
"29",3∙331,3∙331,
"30",,,
"31",5∙739,5∙739,
"32",3ft.,3ft.,
"33",,,
"34",5∙601,5∙601,
"35",12∙007,12∙007,
"36",5∙496,5∙496,
"37",,,
"38",,,
"39",15∙262,15∙262,
"40",,,
"41",66∙1,66∙1,
"42",,,
"43",1∙944,1∙944,
"44",,,
"45",8∙729,8∙729,
"46",,,
"47",1∙850,1∙850,
"48",,,
"49",4∙899,4∙899,
"50",,,
"51",,,
"52",B.S,B.S,
"53",,,
"54",6∙176,6∙176,
"55",,,
"56",1∙695,1∙695,
"57",,,
"58",,,
"59",10∙405,10∙405,
"60",63∙8,63∙8,
"61",,,
"62",1∙575,1∙575,
"63",,,
"64",1∙401,1∙401,
"65",,,
"66",1∙098,1∙098,
"67",1∙823,1∙823,
"68",,,
"69",12∙752,12∙752,
"70",,,
"71",B.M.61∙5,B.M.61∙5,
"72",,,
"73",4∙460,4∙460,
"74",F.P.,F.P.,
"75",,,
"76",1∙074,1∙074,
"77",2∙146,2∙146,
"78",,,
"79",1∙633,1∙633,
"80",,,
"81",,,
"82",10∙254,10∙254,
"83",,,
"84",1∙645,1∙645,
"85",,,
"86",8∙284,8∙284,
"87",F.B.,F.B.,
"88",,,
"89",,,
"90",,,
"91",5∙048,5∙048,
"92",,,
"93",4∙289,4∙289,
"94",,,
"95",,,
"96",B.M.60∙2,B.M.60∙2,
"97",7∙167,7∙167,
"98",Hartlake Bridge,Hartlake Bridge,
"99",Wharf,Wharf,
"100",746∙514,746∙514,
"101",,,
"102",1∙702,1∙702,
"103",745∙187,745∙187,
"104",,,
"105",2∙327,2∙327,
"106",,,
"107",10∙780,10∙780,
"108",747∙165,747∙165,
"109",,,
"110",12∙120,12∙120,
"111",,,
"112",,,
"113",C.D.,C.D.,
"114",,,
"115",18∙901,18∙901,
"116",,,
"117",6∙614,6∙614,
"118",,,
"119",3∙654,3∙654,
"120",,,
"121",3∙358,3∙358,
"122",,,
"123",,,
"124",2∙047,2∙047,
"125",C.S.,C.S.,
"126",,,
"127",57∙4,57∙4,
"128",,,
"129",1∙361,1∙361,
"130",,,
"131",4∙494,4∙494,
"132",,,
"133",,,
"134",,,
"135",2∙183,2∙183,
"136",,,
"137",10∙753,10∙753,
"138",,,
"139",2∙003,2∙003,
"140",,,
