id,txt,phrase,txt_loc
"327",3∙060,3∙060,
"328",,,
"329",5∙911,5∙911,
"330",,,
"331",10∙748,10∙748,
"332",,,
"333",3∙149,3∙149,
"334",W,W,
"335",,,
"336",10∙613,10∙613,
"337",,,
"338",,,
"339",10∙721,10∙721,
"340",,,
"341",9∙185,9∙185,
"342",,,
"343",6∙251,6∙251,
"344",,,
"345",,,
"346",,,
"347",,,
"348",,,
"349",3∙737,3∙737,
"350",15∙495,15∙495,
"351",,,
"352",,,
"353",,,
"354",,,
"355",,,
"356",63∙999,63∙999,
"357",,,
"358",F.P.,F.P.,
"359",,,
"360",57∙084,57∙084,
"361",11∙601,11∙601,
"362",C.S.,C.S.,
"363",3ft.Tk.F.,3ft.Tk.F.,
"364",7∙615,7∙615,
"365",3ft.Tk.F.,3ft.Tk.F.,
"366",,,
"367",1∙611,1∙611,
"368",,,
"369",2∙403,2∙403,
"370",,,
"371",9∙573,9∙573,
"372",,,
"373",4∙210,4∙210,
"374",,,
"375",,,
"376",,,
"377",3∙541,3∙541,
"378",5∙462,5∙462,
"379",,,
"380",,,
"381",5∙798,5∙798,
"382",1∙342,1∙342,
"383",153∙158,153∙158,
"384",,,
"385",12∙218,12∙218,
"386",,,
"387",5∙549,5∙549,
"388",,,
"389",,,
"390",7∙034,7∙034,
"391",1∙520,1∙520,
"392",125∙906,125∙906,
"393",9∙875,9∙875,
"394",,,
"395",B.M.356∙4,B.M.356∙4,
"396",,,
"397",,,
"398",,,
"399",P,P,
"400",ps,ps,
"401",,,
"402",,,
