id,txt,phrase,txt_loc
"0",,,
"1",,,
"2",,,
"3",,,
"4",,,
"5",,,
"6",,,
"7",,,
"8",,,
"9",,,
"10",,,
"11",PH,PH,
"12",,,
"13",,,
"14",,,
"15",,,
"16",,,
"17",,,
"18",,,
"19",,,
"20",,,
"21",,,
"22",,,
"23",,,
"24",,,
"25",,,
"26",,,
"27",,,
"28",,,
"29",LB,LB,
"30",,,
"31",,,
"32",,,
"33",,,
"34",,,
"35",,,
"36",,,
"37",,,
"38",,,
"39",,,
"40",,,
"41",,,
"42",,,
"43",,,
"44",,,
"45",,,
"46",PO,PO,
"47",,,
"48",74a,74a,
"49",,,
"50",,,
"51",,,
"52",,,
"53",,,
"54",1 to 12,1 to 12,
"55",1 to 35,1 to 35,
"56",,,
"57",14a,14a,
"58",,,
"59",,,
"60",,,
"61",,,
"62",,,
"63",,,
"64",,,
"65",,,
"66",,,
"67",,,
"68",11 to 20,11 to 20,
"69",36 to 70,36 to 70,
"70",,,
"71",BM75∙86,BM75∙86,
"72",,,
"73",,,
"74",,,
"75",1 to 35,1 to 35,
"76",,,
"77",,,
"78",,,
"79",15 to 42,15 to 42,
"80",,,
"81",1 to 63,1 to 63,
"82",LB,LB,
"83",PCB,PCB,
"84",TA,TA Centre,"1"
"85",Centre,TA Centre,"2"
"86",,,
"87",El Sub,El Sub Sta,"1"
"88",Sta,El Sub Sta,"2"
"89",D Fn,D Fn,
"90",,,
"91",,,
"92",,,
"93",,,
"94",1 to 24,1 to 24,
"95",ST GEORGE'S GARDENS,ST GEORGE'S GARDENS,
"96",Ruin,Ruin,
"97",Coiam's Garden (Child Welfare Centre),Coiam's Garden (Child Welfare Centre),
"98",,,
"99",,,
"100",D Fn,D Fn,
"101",,,
"102",,,
"103",TCB,TCB,
"104",,,
"105",,,
"106",,,
"107",,,
"108",,,
"109",,,
"110",29 to 39,29 to 39,
"111",Ruin,Ruin,
"112",Minerva Club,Minerva Club,
"113",1 to 10,1 to 10,
"114",11 to 20,11 to 20,
"115",11 to 20,11 to 20,
"116",1 to 10,1 to 10,
"117",1 to 10,1 to 10,
"118",,,
"119",,,
"120",Ruin,Ruin,
"121",,,
"122",,,
"123",,,
"124",,,
"125",,,
"126",PH,PH,
"127",,,
"128",,,
"129",,,
"130",,,
"131",Ferodo House,Ferodo House,
"132",1 to 18,1 to 18,
"133",,,
"134",,,
"135",,,
"136",,,
"137",,,
"138",,,
"139",,,
"140",,,
"141",,,
"142",,,
"143",,,
"144",A,A,
"145",B,B,
"146",C,C,
"147",D,D,
"148",1 to 24,1 to 24,
"149",1 to 25,1 to 25,
"150",1 to 26,1 to 26,
"151",1 to 26,1 to 26,
"152",1 to 26,1 to 26,
"153",1 to 26,1 to 26,
"154",H,H,
"155",G,G,
"156",Avondale Hotel,Avondale Hotel,
"157",School,School,
