id,txt,phrase,txt_loc
"390",,,
"391",,,
"392",,,
"393",,,
"394",Kilometers,Kilometers,
"395",y,y,
"396",Yards,Yards,
"397",1°25',1°25',
"398",0°17',0°17',
"399",25 MILS,25 MILS,
"400",5 MILS,5 MILS,
"401",GRID NORTH,GRID NORTH,
"402",MAGNETIC NORTH,MAGNETIC NORTH,
"403",APPROXIMATE MEAN DECLINATION 1943,APPROXIMATE MEAN DECLINATION 1943,
"404",ANNUAL MAGNETIC CHANGE 1' DECREASE,ANNUAL MAGNETIC CHANGE 1' DECREASE,
"405",CLASSIFICATION CANCELLED BY AUTHORITY OF CHIEF OF ENGINEERS LETTER OF JAN 22 1946,CLASSIFICATION CANCELLED BY AUTHORITY OF CHIEF OF ENGINEERS LETTER OF JAN 22 1946,
"406",RESTRICTED,RESTRICTED,
"407",,,
"408","ARMY MAP SERVICE. WASHINGTON, D.C. 101420 REPRINTED BY 29TH ENGR. REPRODUCTION PLANT, PORTLAND, OREGON, 1943.","ARMY MAP SERVICE. WASHINGTON, D.C. 101420 REPRINTED BY 29TH ENGR. REPRODUCTION PLANT, PORTLAND, OREGON, 1943.",
"409",CULTURE REVISIONS SHOWN IN RED BASED ON RECONNAISSANCE BY 67TH ENGR. CO. (TOP.) MAY NOT BE OF SAME ACCURACY AS BASE MAP.,CULTURE REVISIONS SHOWN IN RED BASED ON RECONNAISSANCE BY 67TH ENGR. CO. (TOP.) MAY NOT BE OF SAME ACCURACY AS BASE MAP.,
"410",G4360S 250 USGS 1943,G4360S 250 USGS 1943,
"411",(BLYTHE),(BLYTHE),
"412",TUNNEL,TUNNEL,
"413",,,
