name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
Skunk Cabbage Creek		way	86348388	waterway	stream	-120.1555545	41.1434567	22	0.2			Lassen County	California	United States of America	us	Skunk Cabbage Creek, Lassen County, California, United States of America	-120.1720844	41.1354556	-120.1413395	41.1532998			
South Fork East Creek		way	86345487	waterway	stream	-120.1678582	41.1648850	22	0.2			Lassen County	California	United States of America	us	South Fork East Creek, Lassen County, California, United States of America	-120.1761793	41.1439865	-120.1646883	41.1829749			
South Fork Mountain Road		way	7917172	highway	residential	-120.5474541	41.1525470	22	0.2	South Fork Mountain Road		Lassen County	California	United States of America	us	South Fork Mountain Road, Lassen County, California, United States of America	-120.5667190	41.1455670	-120.5084777	41.1556090			
South Warner Road		way	7916191	highway	residential	-120.2558680	41.1700640	22	0.2	South Warner Road		Lassen County	California	United States of America	us	South Warner Road, Lassen County, California, United States of America	-120.2762060	41.1599500	-120.2378583	41.1841290			
Spooner Road		way	7917085	multiple	residential,track	-120.6950201	41.0532860	22	0.2			Lassen County	California	United States of America	us	Spooner Road, Lassen County, California, United States of America	-120.7240300	41.0094469	-120.6725020	41.0808449			
Teal Drive		way	7918230	highway	residential	-120.5253081	41.0345920	22	0.2	Teal Drive		Lassen County	California	United States of America	us	Teal Drive, Lassen County, California, United States of America	-120.5497251	41.0272909	-120.4986080	41.0347460			
42N07 Road		way	7926956	highway	residential	-120.9927860	41.4763449	22	0.2	42N07 Road		Modoc County	California	United States of America	us	42N07 Road, Modoc County, California, United States of America	-121.0048621	41.4650279	-120.9892011	41.4948780			
42N85 Road		way	7926417	highway	residential	-120.9879051	41.4689330	22	0.2	42N85 Road		Modoc County	California	United States of America	us	42N85 Road, Modoc County, California, United States of America	-120.9921590	41.4650279	-120.9864740	41.4725230			
44N05 Road		way	7931613	multiple	residential,track	-120.9544131	41.6365970	22	0.2			Modoc County	California	United States of America	us	44N05 Road, Modoc County, California, United States of America	-120.9799710	41.5902950	-120.9272181	41.6567370			
45N29 Road		way	7924975	highway	residential	-120.9608961	41.6957240	22	0.2	45N29 Road		Modoc County	California	United States of America	us	45N29 Road, Modoc County, California, United States of America	-120.9791260	41.6826149	-120.9434360	41.7088480			
46540D Road		way	7929578	highway	residential	-120.9452190	41.9647169	22	0.2	46540D Road		Modoc County	California	United States of America	us	46540D Road, Modoc County, California, United States of America	-120.9578461	41.9318920	-120.9309421	41.9935359			
46N19 Road		way	7929740	multiple	residential,track	-120.8937770	41.8121279	22	0.2			Modoc County	California	United States of America	us	46N19 Road, Modoc County, California, United States of America	-120.9295380	41.7945800	-120.8448200	41.8344359			
46N67 Road		way	7931013	highway	residential	-120.8583840	41.8379240	22	0.2	46N67 Road		Modoc County	California	United States of America	us	46N67 Road, Modoc County, California, United States of America	-120.8634830	41.8302260	-120.8565191	41.8454659			
47N06 Road		way	7931550	highway	residential	-120.7101360	41.9413570	22	0.2	47N06 Road		Modoc County	California	United States of America	us	47N06 Road, Modoc County, California, United States of America	-120.7344170	41.9235530	-120.6899750	41.9587319			
47N40 Road		way	7931947	multiple	residential,track	-120.7135131	41.9664859	22	0.2			Modoc County	California	United States of America	us	47N40 Road, Modoc County, California, United States of America	-120.7655630	41.9583670	-120.6911130	41.9938720			
48N06 Road		way	7930199	highway	residential	-120.7353360	41.9304190	22	0.2	48N06 Road		Modoc County	California	United States of America	us	48N06 Road, Modoc County, California, United States of America	-120.7610680	41.9174139	-120.6965800	41.9506040			
48N08C Road		way	7929964	highway	residential	-120.7728870	41.9112759	22	0.2	48N08C Road		Modoc County	California	United States of America	us	48N08C Road, Modoc County, California, United States of America	-120.7809810	41.9087220	-120.7651271	41.9167490			
Adin Street		way	7930632	highway	residential	-120.9431479	41.1974807	22	0.2	Adin Street		Modoc County	California	United States of America	us	Adin Street, Modoc County, California, United States of America	-120.9435127	41.1922269	-120.9431479	41.1974871			
Ann Street		way	7924991	highway	residential	-120.1784550	41.5259980	22	0.2	Ann Street		Modoc County	California	United States of America	us	Ann Street, Modoc County, California, United States of America	-120.1814071	41.5259749	-120.1704310	41.5260120			
Baldpate Drive		way	7924665	highway	residential	-120.5318791	41.5161740	22	0.2	Baldpate Drive		Modoc County	California	United States of America	us	Baldpate Drive, Modoc County, California, United States of America	-120.5388180	41.5090850	-120.5318791	41.5232829			
Bare Creek		way	86389665	waterway	stream	-120.0481145	41.1993954	22	0.2			Modoc County	California	United States of America	us	Bare Creek, Modoc County, California, United States of America	-120.0496302	41.1866482	-120.0465193	41.2116956			
Barners Creek		way	86346185	waterway	stream	-120.2926800	41.9164384	22	0.2			Modoc County	California	United States of America	us	Barners Creek, Modoc County, California, United States of America	-120.3192590	41.9132992	-120.2631619	41.9268286			
Bear Creek		way	86345060	waterway	stream	-120.2905596	41.5775765	22	0.2			Modoc County	California	United States of America	us	Bear Creek, Modoc County, California, United States of America	-120.2908185	41.5616736	-120.2874875	41.5864826			
